S.NO.,TXN DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BOOKING AMOUNT",CREDITED ON,"CUST.ACC.NO.",REMARKS
1,07-Jan-2024,100004714176904,644844817552585,488.05,08-Jan-2024,0214,
2,07-Jan-2024,100004714176930,182417817553276,488.05,08-Jan-2024,0214,
3,07-Jan-2024,100004714295289,133241817553676,915.4,08-Jan-2024,8827,
4,07-Jan-2024,100004714296298,527298817554457,1906.1,08-Jan-2024,8624,
5,07-Jan-2024,100004714295318,168527817554512,157.7,08-Jan-2024,8827,
6,07-Jan-2024,100004714348014,826164817555230,503.05,08-Jan-2024,2724,
7,07-Jan-2024,100004714296364,578951817556319,658.4,08-Jan-2024,8624,
8,07-Jan-2024,100004714273877,304654817564312,1923.75,08-Jan-2024,3177,
9,07-Jan-2024,100004714374415,137288817567402,162.7,08-Jan-2024,2286,
10,07-Jan-2024,100004714391385,187809817568141,448.4,08-Jan-2024,2481,
11,07-Jan-2024,100004714292954,777022817569297,233.05,08-Jan-2024,2481,
12,07-Jan-2024,100004714331742,556256817569831,142.7,08-Jan-2024,2286,
13,07-Jan-2024,100004714462088,138999817572142,312.7,08-Jan-2024,0498,
14,07-Jan-2024,100004714385601,128689817573666,667.7,08-Jan-2024,0641,
15,07-Jan-2024,100004714477195,631620817575435,1156.1,08-Jan-2024,1826,
16,07-Jan-2024,100004714500473,130286817584932,5426.1,08-Jan-2024,3560,
17,07-Jan-2024,100004714443826,387346817586540,530.75,08-Jan-2024,2951,
18,07-Jan-2024,100004714420974,134158817587571,208.05,08-Jan-2024,0132,
19,07-Jan-2024,100004714512578,364483817589794,770.75,08-Jan-2024,1890,
20,07-Jan-2024,100004714553328,103021817590733,1455.4,08-Jan-2024,1276,
21,07-Jan-2024,100004714551540,177457817594063,908.4,08-Jan-2024,9655,
22,07-Jan-2024,100004714551645,185706817596317,908.4,08-Jan-2024,9655,
23,07-Jan-2024,100004714551675,196021817596934,908.4,08-Jan-2024,9655,
24,07-Jan-2024,100004714551706,183047817597856,1799.1,08-Jan-2024,9655,
25,07-Jan-2024,100004714551756,157039817598810,2366.1,08-Jan-2024,9655,
26,07-Jan-2024,100004714577470,563314817599361,442.7,08-Jan-2024,1912,
27,07-Jan-2024,100004714538762,264423817600723,908.4,08-Jan-2024,9655,
28,07-Jan-2024,100004714620588,171877817605385,2013.75,08-Jan-2024,7353,
29,07-Jan-2024,100004714626676,123651817607667,1280.4,08-Jan-2024,6132,
