S.NO.,TXN DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BOOKING AMOUNT",CREDITED ON,"CUST.ACC.NO.",REMARKS
1,01-Jan-2024,100004701366330,359667813386633,1000,02-Jan-2024,3868,
2,01-Jan-2024,100004701371279,178499813386441,1125.4,02-Jan-2024,9400,
3,01-Jan-2024,100004701392194,121332813386964,262.7,02-Jan-2024,4557,
4,01-Jan-2024,100004701415140,162623813390425,745.75,02-Jan-2024,0036,
5,01-Jan-2024,100004701371333,433041813390570,197.7,02-Jan-2024,9400,
6,01-Jan-2024,100004701392273,152634813390826,262.7,02-Jan-2024,4557,
7,01-Jan-2024,100004701458029,169004813401266,1475.4,02-Jan-2024,6609,
8,01-Jan-2024,100004701458070,106817813403717,567.7,02-Jan-2024,6609,
9,01-Jan-2024,100004701417383,174689813405623,3212.15,02-Jan-2024,3544,
10,01-Jan-2024,100004701342779,122652813406559,680.75,02-Jan-2024,3533,
11,01-Jan-2024,100004701327904,197976813409431,248.05,02-Jan-2024,1594,
12,01-Jan-2024,100004701446283,968330813408943,435.4,02-Jan-2024,4720,
13,01-Jan-2024,100004701446310,161327813411290,620.4,02-Jan-2024,4720,
14,01-Jan-2024,100004701486123,203459813414016,1173.75,02-Jan-2024,3533,
15,01-Jan-2024,100004701426495,166361813416280,237.7,02-Jan-2024,4720,
16,01-Jan-2024,100004701401613,792369813418498,358.05,02-Jan-2024,7698,
17,01-Jan-2024,100004701491181,375942813421178,237.7,02-Jan-2024,4720,
18,01-Jan-2024,100004701500440,143608813431699,1030.75,02-Jan-2024,0194,
19,01-Jan-2024,100004701452541,160875813431240,870.75,02-Jan-2024,3121,
20,01-Jan-2024,100004701451392,103532813433192,788.4,02-Jan-2024,4985,
21,01-Jan-2024,100004701448610,143221813435971,1055.4,02-Jan-2024,6163,
22,01-Jan-2024,100004701533309,203201813439376,1173.75,02-Jan-2024,4044,
23,01-Jan-2024,100004701443896,210667813445847,705.4,02-Jan-2024,5728,
24,01-Jan-2024,100004701471711,179226813448353,1475.75,02-Jan-2024,6163,
25,01-Jan-2024,100004701527421,211933813448736,3679.1,02-Jan-2024,1313,
26,01-Jan-2024,100004701553382,712135813451104,1967.7,02-Jan-2024,0205,
27,01-Jan-2024,100004701501715,100339813451759,3676.1,02-Jan-2024,7698,
28,01-Jan-2024,100004701515602,127907813452197,98.05,02-Jan-2024,3689,
29,01-Jan-2024,100004701515644,742189813453753,98.05,02-Jan-2024,3689,
30,01-Jan-2024,100004701590279,199928813457147,328.05,02-Jan-2024,0932,
31,01-Jan-2024,100004701590346,161864813460257,328.05,02-Jan-2024,0932,
32,01-Jan-2024,100004701677021,179962813468032,1077.7,02-Jan-2024,8827,
33,01-Jan-2024,100004701682113,203780813475473,465.75,02-Jan-2024,5049,
34,01-Jan-2024,100004701682276,386756813487199,560.75,02-Jan-2024,5049,
35,01-Jan-2024,100004701639608,158785813499992,2025.4,02-Jan-2024,8827,
36,01-Jan-2024,100004701767195,145851813513136,560.4,02-Jan-2024,7912,
37,01-Jan-2024,100004701766233,211888813513304,2635.4,02-Jan-2024,0901,
38,01-Jan-2024,100004701815122,292516813526089,608.05,02-Jan-2024,1056,
39,01-Jan-2024,100004701808212,164739813527146,412.7,02-Jan-2024,3340,
40,01-Jan-2024,100004701716681,701838813527577,2000.4,02-Jan-2024,5631,
41,01-Jan-2024,100004701736626,104875813528158,283.05,02-Jan-2024,3177,
42,01-Jan-2024,100004701801292,164493813530906,1185.75,02-Jan-2024,7363,
43,01-Jan-2024,100004701808260,104083813531925,342.7,02-Jan-2024,3340,
44,01-Jan-2024,100004701736675,161448813531810,343.05,02-Jan-2024,3177,
45,01-Jan-2024,100004701711710,149310813534948,1665.75,02-Jan-2024,1027,
46,01-Jan-2024,100004701778504,664510813539358,187.7,02-Jan-2024,1563,
47,01-Jan-2024,100004701719784,692345813541197,2156.1,02-Jan-2024,0886,
48,01-Jan-2024,100004701778544,169049813543078,177.7,02-Jan-2024,1563,
49,01-Jan-2024,100004701879009,184040813543367,5426.1,02-Jan-2024,3560,
50,01-Jan-2024,100004701843320,106995813548769,2116.1,02-Jan-2024,0886,
51,01-Jan-2024,100004701895005,445554813550656,1435.75,02-Jan-2024,1912,
52,01-Jan-2024,100004701726913,102372813551921,655.75,02-Jan-2024,7000,
53,01-Jan-2024,100004701826413,194330813552898,2116.1,02-Jan-2024,0886,
54,01-Jan-2024,100004701908063,735678813559694,243.05,02-Jan-2024,9260,
55,01-Jan-2024,100004701908167,914084813566951,6650.4,02-Jan-2024,6612,
56,01-Jan-2024,100004701866448,113041813568526,377.7,02-Jan-2024,1661,
57,01-Jan-2024,100004701849626,168898813573210,1060.75,02-Jan-2024,3378,
58,01-Jan-2024,100004701843656,109477813573450,1916.1,02-Jan-2024,8732,
59,01-Jan-2024,100004701859634,188693813576507,1435.4,02-Jan-2024,0093,
60,01-Jan-2024,100004701843711,352811813576649,2305.4,02-Jan-2024,8732,
61,01-Jan-2024,100004701811930,194228813578253,292.7,02-Jan-2024,9400,
62,01-Jan-2024,100004701795985,110928813578241,1925.4,02-Jan-2024,7698,
63,01-Jan-2024,100004701990006,200242813582283,292.7,02-Jan-2024,9400,
64,01-Jan-2024,100004701883639,523273813585614,182.7,02-Jan-2024,9400,
65,01-Jan-2024,100004701857864,122182813589775,969.45,02-Jan-2024,1914,
66,01-Jan-2024,100004702076057,146332813604631,1865.4,02-Jan-2024,3177,
67,01-Jan-2024,100004702076121,810789813605966,1236.1,02-Jan-2024,3177,
68,01-Jan-2024,100004702105125,717767813613673,4985.4,02-Jan-2024,0510,
69,01-Jan-2024,100004701958929,115580813614801,1436.1,02-Jan-2024,8081,
70,01-Jan-2024,100004702092293,711500813616125,459.1,02-Jan-2024,7690,
71,01-Jan-2024,100004702105193,122401813616355,1685.4,02-Jan-2024,0510,
72,01-Jan-2024,100004702053624,924166813617787,353.05,02-Jan-2024,0205,
73,01-Jan-2024,100004702069555,597105813621523,1399.1,02-Jan-2024,0205,
74,01-Jan-2024,100004702092492,834139813622173,1206.45,02-Jan-2024,7690,
75,01-Jan-2024,100004702064771,154646813624084,342.7,02-Jan-2024,8827,
76,01-Jan-2024,100004702103657,173401813627722,1765.75,02-Jan-2024,5030,
77,01-Jan-2024,100004702160469,206000813631933,880.4,02-Jan-2024,2563,
78,01-Jan-2024,100004702203358,131785813634849,178.05,02-Jan-2024,3689,
79,01-Jan-2024,100004702204738,250583813641724,1086.1,02-Jan-2024,6453,
80,01-Jan-2024,100004702204796,186764813642542,1086.1,02-Jan-2024,6453,
81,01-Jan-2024,100004702333725,157024813653399,228.4,02-Jan-2024,5687,
82,01-Jan-2024,100004700485337,412955813221649,1375.75,02-Jan-2024,2087,
83,01-Jan-2024,100004700471857,124898813238919,1965.4,02-Jan-2024,0093,
84,01-Jan-2024,100004700493815,194883813241116,128.05,02-Jan-2024,0081,
85,01-Jan-2024,100004700557629,524831813242093,418.05,02-Jan-2024,0081,
86,01-Jan-2024,100004700622168,147052813243018,1405.75,02-Jan-2024,0081,
87,01-Jan-2024,100004700634121,913525813244288,1286.1,02-Jan-2024,0081,
88,01-Jan-2024,100004700502789,118615813246600,1015.75,02-Jan-2024,0081,
89,01-Jan-2024,100004700573633,171701813249234,867.7,02-Jan-2024,0326,
90,01-Jan-2024,100004700637242,168972813251353,2026.1,02-Jan-2024,6933,
91,01-Jan-2024,100004700530853,147568813251407,908.05,02-Jan-2024,0214,
92,01-Jan-2024,100004700637276,176761813252992,2186.1,02-Jan-2024,6933,
93,01-Jan-2024,100004700672059,142910813252747,1637.7,02-Jan-2024,4161,
94,01-Jan-2024,100004700673494,143733813264028,1265.75,02-Jan-2024,1544,
95,01-Jan-2024,100004700712225,132072813264105,1365.4,02-Jan-2024,7397,
96,01-Jan-2024,100004700700347,208600813264282,1275.75,02-Jan-2024,1047,
97,01-Jan-2024,100004700648535,177646813264220,1625.75,02-Jan-2024,4192,
98,01-Jan-2024,100004700741244,202840813264551,1275.75,02-Jan-2024,0931,
99,01-Jan-2024,100004700653633,190998813264643,670.75,02-Jan-2024,9836,
100,01-Jan-2024,100004700739387,129287813264496,2245.4,02-Jan-2024,2657,
101,01-Jan-2024,100004700669586,563381813264829,5361.45,02-Jan-2024,6319,
