S.NO.,TXN DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BOOKING AMOUNT",CREDITED ON,"CUST.ACC.NO.",REMARKS
1,25-Jan-2024,100004749521865,323978827368824,1428.05,29-Jan-2024,7462,
2,25-Jan-2024,100004749451913,479025827368747,358.4,29-Jan-2024,4772,
3,25-Jan-2024,100004749574377,105806827369961,523.05,29-Jan-2024,1034,
4,25-Jan-2024,100004749672043,854795827369448,1719.1,29-Jan-2024,3692,
5,25-Jan-2024,100004749499777,111785827369169,868.4,29-Jan-2024,4912,
6,25-Jan-2024,100004749498914,148619827369802,888.4,29-Jan-2024,5475,
7,25-Jan-2024,100004749602481,154818827371291,178.05,29-Jan-2024,2621,
8,25-Jan-2024,100004749570767,212646827371282,4388.4,29-Jan-2024,0801,
9,25-Jan-2024,100004749565832,213089827372611,1065.75,29-Jan-2024,4732,
10,25-Jan-2024,100004749591707,183415827371757,3119.1,29-Jan-2024,3260,
11,25-Jan-2024,100004749621502,879959827372836,563.05,29-Jan-2024,9837,
12,25-Jan-2024,100004749644348,180405827373347,518.05,29-Jan-2024,6650,
13,25-Jan-2024,100004749668350,107104827375324,213.05,29-Jan-2024,8632,
14,25-Jan-2024,100004749704200,166574827380026,968.05,29-Jan-2024,4912,
15,25-Jan-2024,100004749609945,102671827381252,177.7,29-Jan-2024,6457,
16,25-Jan-2024,100004749582832,564672827381601,893.05,29-Jan-2024,8649,
17,25-Jan-2024,100004749614838,190504827382408,14511.45,29-Jan-2024,2072,
18,25-Jan-2024,100004749756013,141202827384999,1820.4,29-Jan-2024,0040,
19,25-Jan-2024,100004749617795,893434827384578,222.7,29-Jan-2024,8827,
20,25-Jan-2024,100004749731258,166799827390433,102.7,29-Jan-2024,8827,
21,25-Jan-2024,100004749620959,293442827391653,1255.4,29-Jan-2024,9140,
22,25-Jan-2024,100004749644762,145613827393753,468.4,29-Jan-2024,3427,
23,25-Jan-2024,100004749784013,917547827398146,1255.4,29-Jan-2024,9140,
24,25-Jan-2024,100004749701459,971379827401148,758.4,29-Jan-2024,0118,
25,25-Jan-2024,100004749798017,141781827402970,1117.7,29-Jan-2024,0350,
26,25-Jan-2024,100004749674758,126520827404924,1292.7,29-Jan-2024,0657,
